phi,theta,xValue,yValue,zValue,FILE
66,90,166,499,499,images/500.jpg
66,90,166,832,499,images/501.jpg
66,150,166,166,499,images/502.jpg
66,150,166,499,499,images/503.jpg
66,150,166,832,499,images/504.jpg
66,30,166,166,832,images/505.jpg
66,30,166,499,832,images/506.jpg
66,30,166,832,832,images/507.jpg
66,90,166,166,832,images/508.jpg
66,90,166,499,832,images/509.jpg
66,90,166,832,832,images/510.jpg
66,150,166,166,832,images/511.jpg
66,150,166,499,832,images/512.jpg
66,150,166,832,832,images/513.jpg
66,30,499,166,166,images/514.jpg
66,30,499,499,166,images/515.jpg
66,30,499,832,166,images/516.jpg
66,90,499,166,166,images/517.jpg
66,90,499,499,166,images/518.jpg
66,90,499,832,166,images/519.jpg
66,150,499,166,166,images/520.jpg
66,150,499,499,166,images/521.jpg
66,150,499,832,166,images/522.jpg
66,30,499,166,499,images/523.jpg
66,30,499,499,499,images/524.jpg
66,30,499,832,499,images/525.jpg
66,90,499,166,499,images/526.jpg
66,90,499,499,499,images/527.jpg
66,90,499,832,499,images/528.jpg
66,150,499,166,499,images/529.jpg
66,150,499,499,499,images/530.jpg
66,150,499,832,499,images/531.jpg
66,30,499,166,832,images/532.jpg
66,30,499,499,832,images/533.jpg
66,30,499,832,832,images/534.jpg
66,90,499,166,832,images/535.jpg
66,90,499,499,832,images/536.jpg
66,90,499,832,832,images/537.jpg
66,150,499,166,832,images/538.jpg
66,150,499,499,832,images/539.jpg
66,150,499,832,832,images/540.jpg
66,30,832,166,166,images/541.jpg
66,30,832,499,166,images/542.jpg
66,30,832,832,166,images/543.jpg
66,90,832,166,166,images/544.jpg
66,90,832,499,166,images/545.jpg
66,90,832,832,166,images/546.jpg
66,150,832,166,166,images/547.jpg
66,150,832,499,166,images/548.jpg
66,150,832,832,166,images/549.jpg
66,30,832,166,499,images/550.jpg
66,30,832,499,499,images/551.jpg
66,30,832,832,499,images/552.jpg
66,90,832,166,499,images/553.jpg
66,90,832,499,499,images/554.jpg
66,90,832,832,499,images/555.jpg
66,150,832,166,499,images/556.jpg
66,150,832,499,499,images/557.jpg
66,150,832,832,499,images/558.jpg
66,30,832,166,832,images/559.jpg
66,30,832,499,832,images/560.jpg
66,30,832,832,832,images/561.jpg
66,90,832,166,832,images/562.jpg
66,90,832,499,832,images/563.jpg
66,90,832,832,832,images/564.jpg
66,150,832,166,832,images/565.jpg
66,150,832,499,832,images/566.jpg
66,150,832,832,832,images/567.jpg
77,30,166,166,166,images/568.jpg
77,30,166,499,166,images/569.jpg
77,30,166,832,166,images/570.jpg
77,90,166,166,166,images/571.jpg
77,90,166,499,166,images/572.jpg
77,90,166,832,166,images/573.jpg
77,150,166,166,166,images/574.jpg
77,150,166,499,166,images/575.jpg
77,150,166,832,166,images/576.jpg
77,30,166,166,499,images/577.jpg
77,30,166,499,499,images/578.jpg
77,30,166,832,499,images/579.jpg
77,90,166,166,499,images/580.jpg
77,90,166,499,499,images/581.jpg
77,90,166,832,499,images/582.jpg
77,150,166,166,499,images/583.jpg
77,150,166,499,499,images/584.jpg
77,150,166,832,499,images/585.jpg
77,30,166,166,832,images/586.jpg
77,30,166,499,832,images/587.jpg
77,30,166,832,832,images/588.jpg
77,90,166,166,832,images/589.jpg
77,90,166,499,832,images/590.jpg
77,90,166,832,832,images/591.jpg
77,150,166,166,832,images/592.jpg
77,150,166,499,832,images/593.jpg
77,150,166,832,832,images/594.jpg
77,30,499,166,166,images/595.jpg
77,30,499,499,166,images/596.jpg
77,30,499,832,166,images/597.jpg
77,90,499,166,166,images/598.jpg
77,90,499,499,166,images/599.jpg
77,90,499,832,166,images/600.jpg
77,150,499,166,166,images/601.jpg
77,150,499,499,166,images/602.jpg
77,150,499,832,166,images/603.jpg
77,30,499,166,499,images/604.jpg
77,30,499,499,499,images/605.jpg
77,30,499,832,499,images/606.jpg
77,90,499,166,499,images/607.jpg
77,90,499,499,499,images/608.jpg
77,90,499,832,499,images/609.jpg
77,150,499,166,499,images/610.jpg
77,150,499,499,499,images/611.jpg
77,150,499,832,499,images/612.jpg
77,30,499,166,832,images/613.jpg
77,30,499,499,832,images/614.jpg
77,30,499,832,832,images/615.jpg
77,90,499,166,832,images/616.jpg
77,90,499,499,832,images/617.jpg
77,90,499,832,832,images/618.jpg
77,150,499,166,832,images/619.jpg
77,150,499,499,832,images/620.jpg
77,150,499,832,832,images/621.jpg
77,30,832,166,166,images/622.jpg
77,30,832,499,166,images/623.jpg
77,30,832,832,166,images/624.jpg
77,90,832,166,166,images/625.jpg
77,90,832,499,166,images/626.jpg
77,90,832,832,166,images/627.jpg
77,150,832,166,166,images/628.jpg
77,150,832,499,166,images/629.jpg
77,150,832,832,166,images/630.jpg
77,30,832,166,499,images/631.jpg
77,30,832,499,499,images/632.jpg
77,30,832,832,499,images/633.jpg
77,90,832,166,499,images/634.jpg
77,90,832,499,499,images/635.jpg
77,90,832,832,499,images/636.jpg
77,150,832,166,499,images/637.jpg
77,150,832,499,499,images/638.jpg
77,150,832,832,499,images/639.jpg
77,30,832,166,832,images/640.jpg
77,30,832,499,832,images/641.jpg
77,30,832,832,832,images/642.jpg
77,90,832,166,832,images/643.jpg
77,90,832,499,832,images/644.jpg
77,90,832,832,832,images/645.jpg
77,150,832,166,832,images/646.jpg
77,150,832,499,832,images/647.jpg
77,150,832,832,832,images/648.jpg
88,30,166,166,166,images/649.jpg
88,30,166,499,166,images/650.jpg
88,30,166,832,166,images/651.jpg
88,90,166,166,166,images/652.jpg
88,90,166,499,166,images/653.jpg
88,90,166,832,166,images/654.jpg
88,150,166,166,166,images/655.jpg
88,150,166,499,166,images/656.jpg
88,150,166,832,166,images/657.jpg
88,30,166,166,499,images/658.jpg
88,30,166,499,499,images/659.jpg
88,30,166,832,499,images/660.jpg
88,90,166,166,499,images/661.jpg
88,90,166,499,499,images/662.jpg
88,90,166,832,499,images/663.jpg
88,150,166,166,499,images/664.jpg
88,150,166,499,499,images/665.jpg
88,150,166,832,499,images/666.jpg
88,30,166,166,832,images/667.jpg
88,30,166,499,832,images/668.jpg
88,30,166,832,832,images/669.jpg
88,90,166,166,832,images/670.jpg
88,90,166,499,832,images/671.jpg
88,90,166,832,832,images/672.jpg
88,150,166,166,832,images/673.jpg
88,150,166,499,832,images/674.jpg
88,150,166,832,832,images/675.jpg
88,30,499,166,166,images/676.jpg
88,30,499,499,166,images/677.jpg
88,30,499,832,166,images/678.jpg
88,90,499,166,166,images/679.jpg
88,90,499,499,166,images/680.jpg
88,90,499,832,166,images/681.jpg
88,150,499,166,166,images/682.jpg
88,150,499,499,166,images/683.jpg
88,150,499,832,166,images/684.jpg
88,30,499,166,499,images/685.jpg
88,30,499,499,499,images/686.jpg
88,30,499,832,499,images/687.jpg
88,90,499,166,499,images/688.jpg
88,90,499,499,499,images/689.jpg
88,90,499,832,499,images/690.jpg
88,150,499,166,499,images/691.jpg
88,150,499,499,499,images/692.jpg
88,150,499,832,499,images/693.jpg
88,30,499,166,832,images/694.jpg
88,30,499,499,832,images/695.jpg
88,30,499,832,832,images/696.jpg
88,90,499,166,832,images/697.jpg
88,90,499,499,832,images/698.jpg
88,90,499,832,832,images/699.jpg
88,150,499,166,832,images/700.jpg
88,150,499,499,832,images/701.jpg
88,150,499,832,832,images/702.jpg
88,30,832,166,166,images/703.jpg
88,30,832,499,166,images/704.jpg
88,30,832,832,166,images/705.jpg
88,90,832,166,166,images/706.jpg
88,90,832,499,166,images/707.jpg
88,90,832,832,166,images/708.jpg
88,150,832,166,166,images/709.jpg
88,150,832,499,166,images/710.jpg
88,150,832,832,166,images/711.jpg
88,30,832,166,499,images/712.jpg
88,30,832,499,499,images/713.jpg
88,30,832,832,499,images/714.jpg
88,90,832,166,499,images/715.jpg
88,90,832,499,499,images/716.jpg
88,90,832,832,499,images/717.jpg
88,150,832,166,499,images/718.jpg
88,150,832,499,499,images/719.jpg
88,150,832,832,499,images/720.jpg
88,30,832,166,832,images/721.jpg
88,30,832,499,832,images/722.jpg
88,30,832,832,832,images/723.jpg
88,90,832,166,832,images/724.jpg
88,90,832,499,832,images/725.jpg
88,90,832,832,832,images/726.jpg
88,150,832,166,832,images/727.jpg
88,150,832,499,832,images/728.jpg
88,150,832,832,832,images/729.jpg
99,30,166,166,166,images/730.jpg
99,30,166,499,166,images/731.jpg
99,30,166,832,166,images/732.jpg
99,90,166,166,166,images/733.jpg
99,90,166,499,166,images/734.jpg
99,90,166,832,166,images/735.jpg
99,150,166,166,166,images/736.jpg
99,150,166,499,166,images/737.jpg
99,150,166,832,166,images/738.jpg
99,30,166,166,499,images/739.jpg
99,30,166,499,499,images/740.jpg
99,30,166,832,499,images/741.jpg
99,90,166,166,499,images/742.jpg
99,90,166,499,499,images/743.jpg
99,90,166,832,499,images/744.jpg
99,150,166,166,499,images/745.jpg
99,150,166,499,499,images/746.jpg
99,150,166,832,499,images/747.jpg
99,30,166,166,832,images/748.jpg
99,30,166,499,832,images/749.jpg
99,30,166,832,832,images/750.jpg
99,90,166,166,832,images/751.jpg
99,90,166,499,832,images/752.jpg
99,90,166,832,832,images/753.jpg
99,150,166,166,832,images/754.jpg
99,150,166,499,832,images/755.jpg
99,150,166,832,832,images/756.jpg
99,30,499,166,166,images/757.jpg
99,30,499,499,166,images/758.jpg
99,30,499,832,166,images/759.jpg
99,90,499,166,166,images/760.jpg
99,90,499,499,166,images/761.jpg
99,90,499,832,166,images/762.jpg
99,150,499,166,166,images/763.jpg
99,150,499,499,166,images/764.jpg
99,150,499,832,166,images/765.jpg
99,30,499,166,499,images/766.jpg
99,30,499,499,499,images/767.jpg
99,30,499,832,499,images/768.jpg
99,90,499,166,499,images/769.jpg
99,90,499,499,499,images/770.jpg
99,90,499,832,499,images/771.jpg
